Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
17802724,The Husband's Secret,Liane Moriarty,"Moriarty, Liane",,"=""0399159347""","=""9780399159343""",0,3.95,Berkley,Hardcover,396,2013,2013,,2020/11/17,,,read,,,,1,0
33516773,Big Little Lies,Liane Moriarty,"Moriarty, Liane",,"=""0399587195""","=""9780399587191""",5,4.31,Berkley,Paperback,460,2017,2014,,2020/11/17,,,read,,,,1,0
50253429,Rodham,Curtis Sittenfeld,"Sittenfeld, Curtis",,"=""0399590919""","=""9780399590917""",5,3.83,Random House,Hardcover,420,2020,2020,,2020/08/08,,,read,,,,1,0
30075662,"Aurora Rising (The Aurora Cycle, #1)",Amie Kaufman,"Kaufman, Amie",Jay Kristoff,"=""1524720968""","=""9781524720964""",4,4.09,Knopf Books for Young Readers,Hardcover,473,2019,2019,2020/10/07,2020/09/19,,,read,,,,1,0
9361589,The Night Circus,Erin Morgenstern,"Morgenstern, Erin",,"=""""","=""9780385534635""",0,4.00,Doubleday,Hardcover,506,2011,2011,,2020/10/07,,,read,,,,1,0
49397893,"More Than a Woman: A Brutally Honest and Hilarious Feminist Memoir on Parenting, Marriage, and Middle-Age",Caitlin Moran,"Moran, Caitlin",,"=""0062893718""","=""9780062893710""",0,4.14,Harper Perennial,Paperback,252,2020,2020,,2020/10/07,to-read,to-read (#4),to-read,,,,0,0
38447,"The Handmaid’s Tale (The Handmaid's Tale, #1)",Margaret Atwood,"Atwood, Margaret",,"=""038549081X""","=""9780385490818""",0,4.15,Anchor Books,Paperback,311,1998,1985,,2020/10/07,,,read,,,,1,0
40735968,Sex Power Money,Sara  Pascoe,"Pascoe, Sara",,"=""0571336019""","=""9780571336012""",5,4.04,Faber & Faber,Kindle Edition,335,2019,2019,,2020/06/14,,,read,,,,1,0
37969723,"The Silence of the Girls (Women of Troy, #1)",Pat Barker,"Barker, Pat",,"=""""","=""""",5,3.89,Doubleday Books,Hardcover,325,2018,2018,,2020/09/19,,,read,,,,1,0
46002342,"Me and White Supremacy: Combat Racism, Change the World, and Become a Good Ancestor",Layla F. Saad,"Saad, Layla F.",Robin DiAngelo,"=""1728209803""","=""9781728209807""",0,4.33,Sourcebooks,Hardcover,238,2020,2020,2020/08/11,2020/06/14,,,read,,,,1,0
41081373,"Girl, Woman, Other",Bernardine Evaristo,"Evaristo, Bernardine",,"=""0241364906""","=""9780241364901""",5,4.26,Hamish Hamilton,Kindle Edition,453,2019,2019,2020/08/08,2020/06/28,,,read,,,,1,0
25667918,"Binti (Binti, #1)",Nnedi Okorafor,"Okorafor, Nnedi",N.K. Jemisin,"=""0765384469""","=""9780765384461""",0,3.84,Tor.com,ebook,96,2015,2015,,2020/08/08,to-read,to-read (#3),to-read,,,,0,0
49960031,"Wow, No Thank You.: Essays",Samantha Irby,"Irby, Samantha",,"=""0525563482""","=""9780525563488""",0,3.81,Vintage,Paperback,319,2020,2020,,2020/06/28,to-read,to-read (#2),to-read,,,,0,0
18693763,Everything I Never Told You,Celeste Ng,"Ng, Celeste",,"=""159420571X""","=""9781594205712""",5,3.83,Penguin Press,Hardcover,297,2014,2014,2020/06/28,2020/06/14,,,read,,,,1,0
29623290,Animal: The Autobiography of a Female Body,Sara  Pascoe,"Pascoe, Sara",,"=""057132522X""","=""9780571325221""",5,4.14,Faber & Faber,Paperback,328,2016,2016,,2020/06/14,,,read,,,,1,0
40180098,The Overstory,Richard Powers,"Powers, Richard",,"=""039335668X""","=""9780393356687""",5,4.11,W.W. Norton & Company,Paperback,502,2019,2018,2020/06/14,2020/04/12,,,read,,,,1,0
